Type,GraspType,Object,Reponses,Instruction
Hold,Lateral,Marker pen,1,How would you hold a marker pen?
Hold,MediumWrap,Marker pen,2,How would you hold a marker pen?
Hold,Tripod,Marker pen,2,How would you hold a marker pen?
Hold,Writing,Marker pen,15,How would you hold a marker pen?
Hold,Lateral,Mobile phone,14,How would you hold a mobile phone?
Hold,MediumWrap,Mobile phone,2,How would you hold a mobile phone?
Hold,Tripod,Mobile phone,1,How would you hold a mobile phone?
Hold,Writing,Mobile phone,2,How would you hold a mobile phone?
Hold,Lateral,Mousepad,17,How would you hold a mousepad?
Hold,MediumWrap,Mousepad,0,How would you hold a mousepad?
Hold,Tripod,Mousepad,0,How would you hold a mousepad?
Hold,Writing,Mousepad,3,How would you hold a mousepad?
Hold,Lateral,Mug,7,How would you hold a mug?
Hold,MediumWrap,Mug,9,How would you hold a mug?
Hold,Tripod,Mug,0,How would you hold a mug?
Hold,Writing,Mug,4,How would you hold a mug?
Hold,Lateral,Newspaper,16,How would you hold the newspaper?
Hold,MediumWrap,Newspaper,1,How would you hold the newspaper?
Hold,Tripod,Newspaper,1,How would you hold the newspaper?
Hold,Writing,Newspaper,2,How would you hold the newspaper?
Hold,Lateral,Notepad,16,How would you hold a notepad?
Hold,MediumWrap,Notepad,2,How would you hold a notepad?
Hold,Tripod,Notepad,1,How would you hold a notepad?
Hold,Writing,Notepad,1,How would you hold a notepad?
Hold,Lateral,Onion,2,How would you hold an onion?
Hold,MediumWrap,Onion,10,How would you hold an onion?
Hold,Tripod,Onion,4,How would you hold an onion?
Hold,Writing,Onion,3,How would you hold an onion?
Hold,Lateral,Paintbrush,0,How would you hold a paintbrush?
Hold,MediumWrap,Paintbrush,0,How would you hold a paintbrush?
Hold,Tripod,Paintbrush,0,How would you hold a paintbrush?
Hold,Writing,Paintbrush,19,How would you hold a paintbrush?
Hold,Lateral,Pan,15,How would you hold a pan?
Hold,MediumWrap,Pan,4,How would you hold a pan?
Hold,Tripod,Pan,0,How would you hold a pan?
Hold,Writing,Pan,1,How would you hold a pan?
Hold,Lateral,Peach,4,How would you hold a peach?
Hold,MediumWrap,Peach,9,How would you hold a peach?
Hold,Tripod,Peach,6,How would you hold a peach?
Hold,Writing,Peach,1,How would you hold a peach?
Hold,Lateral,Pear,0,How would you hold a pear?
Hold,MediumWrap,Pear,12,How would you hold a pear?
Hold,Tripod,Pear,6,How would you hold a pear?
Hold,Writing,Pear,2,How would you hold a pear?
Hold,Lateral,Pencil,1,How would you hold a pencil?
Hold,MediumWrap,Pencil,0,How would you hold a pencil?
Hold,Tripod,Pencil,0,How would you hold a pencil?
Hold,Writing,Pencil,19,How would you hold a pencil?
Hold,Lateral,Pill,2,How would you hold a pill?
Hold,MediumWrap,Pill,2,How would you hold a pill?
Hold,Tripod,Pill,12,How would you hold a pill?
Hold,Writing,Pill,4,How would you hold a pill?
Hold,Lateral,Pliers,3,How would you hold pliers?
Hold,MediumWrap,Pliers,10,How would you hold pliers?
Hold,Tripod,Pliers,4,How would you hold pliers?
Hold,Writing,Pliers,3,How would you hold pliers?
Hold,Lateral,Plate,17,How would you hold a plate?
Hold,MediumWrap,Plate,0,How would you hold a plate?
Hold,Tripod,Plate,2,How would you hold a plate?
Hold,Writing,Plate,0,How would you hold a plate?
Hold,Lateral,Playing card,17,How would you hold a playing card?
Hold,MediumWrap,Playing card,1,How would you hold a playing card?
Hold,Tripod,Playing card,0,How would you hold a playing card?
Hold,Writing,Playing card,2,How would you hold a playing card?
Hold,Lateral,Potato,3,How would you hold a potato?
Hold,MediumWrap,Potato,11,How would you hold a potato?
Hold,Tripod,Potato,5,How would you hold a potato?
Hold,Writing,Potato,1,How would you hold a potato?
Hold,Lateral,Potato chip,7,How would you hold a potato chip?
Hold,MediumWrap,Potato chip,0,How would you hold a potato chip?
Hold,Tripod,Potato chip,6,How would you hold a potato chip?
Hold,Writing,Potato chip,7,How would you hold a potato chip?
Hold,Lateral,Quill,2,How would you hold a quill?
Hold,MediumWrap,Quill,0,How would you hold a quill?
Hold,Tripod,Quill,1,How would you hold a quill?
Hold,Writing,Quill,17,How would you hold a quill?
Hold,Lateral,Remote control,14,How would you hold a remote control?
Hold,MediumWrap,Remote control,4,How would you hold a remote control?
Hold,Tripod,Remote control,1,How would you hold a remote control?
Hold,Writing,Remote control,1,How would you hold a remote control?
Hold,Lateral,Rubik's cube,1,How would you hold rubik's cube?
Hold,MediumWrap,Rubik's cube,13,How would you hold rubik's cube?
Hold,Tripod,Rubik's cube,6,How would you hold rubik's cube?
